Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Antigua and Barbuda,ATG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.36954514,2.415139854,2.36369537,2.446634639,2.648242797,2.952292962,3.451382904,3.793763967,3.837273585,3.38591988,2.966035577,2.763151709,2.685620605,2.379346796,2.262802699,2.267315593,2.216612107,2.247202208,2.21568857,2.192729371,2.248956904,2.296601945,2.393265216,2.519811819,2.505233651,2.523268379,2.540429752,2.372988832,2.161814883,2.051827509,2.07590586,2.168042858,2.16874608,2.178029886,2.116598589,2.021312568,1.930440067,1.867334395,1.871121813,1.889235741,1.829841913,1.870093879,1.873964621,1.846289689,1.827410769,1.801853775,1.821842846,1.814599669,1.797239012,1.929179691,1.862399774,1.769389864,1.679917358,1.649533076,1.781294955,1.958451254,2.092849524,1.989292632,
Austria,AUT,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.458185699,1.309337523,1.352071859,1.579667758,1.887300243,1.507213387,1.624405132,1.609166416,1.542674749,1.499256567,1.380130121,1.246106954,1.202286665,1.184988573,1.276882519,1.451278364,1.365196811,1.345951891,1.429212612,1.433845732,1.420246106,1.380051733,1.41299673,1.391175884,1.414158336,1.512623567,1.508758541,1.416677903,1.299181144,1.234154925,1.195660267,1.154217118,1.099214072,1.115584541,1.094453076,1.073232052,1.049682977,1.046433982,1.018072863,0.980246123,0.98031858,0.908240041,0.883527837,0.913640319,0.893480466,0.853724571,0.789783772,0.90565864,0.876168945,0.838784296,0.824768861,0.794738036,0.782234948,0.754017344,0.753954082,0.707098642,0.747000092,0.729355232,
Azerbaijan,AZE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.400225621,5.000467786,1.94658459,2.736901303,2.254230341,2.324049799,2.412355913,2.625109931,2.267862063,2.312062608,2.24331377,2.426362555,2.629481138,2.299069675,3.417759333,2.864194919,3.291211146,3.325421682,2.791004357,4.670135555,4.658618252,4.54092331,4.555013124,5.467692081,3.690457267,3.937399937,
Burundi,BDI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,3.943793911,0.434782609,0.445620494,1.352337005,1.382287925,1.332606884,1.414223331,1.754491378,,1.032408654,1.458670989,1.946212277,2.225082751,2.056807052,2.2236012,2.533381742,2.796373652,2.643715301,2.918803369,3.030330243,3.50702489,3.104808926,2.975400785,2.751172646,2.805413158,2.649139912,3.145245149,3.349522133,3.448712473,3.786270865,3.595637948,3.72027582,3.921111198,4.209072899,5.856884919,6.359652961,6.572272507,6.257643657,5.968233344,8.036641266,7.150127009,7.290438667,6.599989846,4.436190041,3.511718452,3.414595248,2.720890527,,,,2.533590326,2.482413766,2.18149442,2.33428347,2.242859295,1.983153562,
Belgium,BEL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.397347867,3.259070074,3.284752167,3.216630963,3.213471659,2.973063602,3.112586029,3.134581624,3.115090011,2.931814996,2.918640097,2.898925919,2.880760041,2.835311133,2.761416188,3.065034539,3.093369534,3.143248647,3.261522061,3.261345018,3.250195386,3.366049436,3.269944591,3.19141317,3.007902449,2.931233854,2.953772624,2.901794793,2.628748416,2.460854324,2.355440459,2.287692847,1.83233253,1.735965893,1.67714315,1.565752151,1.540102651,1.476975796,1.463919265,1.385835559,1.341210276,1.276506088,1.21571265,1.214986007,1.149271369,1.091559357,1.051239508,1.094533714,1.213897974,1.160040254,1.084631376,1.043507621,1.038193548,1.011918893,0.976304713,0.923589935,0.925260489,0.909485094,
Benin,BEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.871584699,1.395287958,1.751633987,1.736842105,2.18169901,2.106508876,1.900232597,1.976252106,2.072124756,1.894736842,1.625281519,1.601042034,1.487794309,1.67752809,1.442379182,1.492907801,1.28164794,1.678787879,1.194306931,1.930460034,2.031651419,1.551371319,1.305689831,1.621793843,2.020289981,1.894108684,1.967418682,2.278272941,2.270625537,1.898816057,1.674381125,,,,,,,,,0.716909965,0.614484229,0.524652442,0.926056518,0.971094967,1.03139705,1.02583623,0.994374533,,0.975750986,,,,1.037030305,1.035256566,1.043178363,1.074734767,0.909909242,1.21632174,
Burkina Faso,BFA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.682017544,0.83436853,2.345703125,2.38305709,2.60515873,1.524822695,1.649484536,1.325072886,1.178481013,1.246722288,1.172239108,1.177165354,1.139853748,1.235186873,1.151908397,2.811183733,3.123828648,3.043266631,3.283146067,2.698613861,2.746691176,2.842689698,3.003303634,2.932183416,3.017167437,1.836525411,2.621893491,2.252586462,2.310812644,2.740774077,2.704892966,2.166869267,2.049651568,1.862529885,1.422884729,1.383042694,1.28708847,1.417055045,1.27636264,1.385531386,1.392430725,1.299607711,1.324823431,1.206865304,1.357519347,1.351771098,1.24877889,1.592267582,1.397903771,1.521454726,1.377516262,1.294759503,1.323023735,1.371040082,1.414768873,1.33034916,1.236541348,1.436230291,
Bangladesh,BGD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,0.656720537,0.604303492,0.844783331,1.523678975,1.569977813,1.268985181,0.934292961,0.857420859,0.915831691,1.060869685,1.270673712,1.17804196,1.054272784,1.112191676,1.168232539,1.246388097,1.290861801,1.223165026,1.214422802,1.36050315,1.429390515,1.529023664,1.566693141,1.539073594,1.571667926,1.567535198,1.584834391,1.357119181,1.288422776,1.185764388,1.138286942,1.123505863,1.09089437,1.108238774,1.114480186,1.059529893,1.156730939,1.320837396,1.355517777,1.324419491,1.258197522,1.279412463,1.350969906,1.379672324,1.380750414,
Bulgaria,BGR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39627075,3.83344349,3.043231573,2.972633843,2.609271612,2.492617286,2.374131284,2.402934109,2.430701355,2.453059147,2.645171956,2.671173526,2.884459042,2.801261307,2.712017317,2.506946075,2.360078026,2.200337849,2.324152275,1.907749062,1.856522972,1.765383242,1.443801929,1.498164319,1.613317414,1.473079825,1.316453524,1.442224134,1.55429169,
Bahrain,BHR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,1.526179854,1.75228724,2.077922078,4.958131335,5.892751915,5.698891307,6.902581566,8.535161949,4.790336018,4.179305696,4.588158182,5.837762481,5.253253881,5.603045758,5.644661664,5.284791544,5.703750648,5.878071992,5.369855167,5.111302188,5.18323179,5.273939764,5.068487413,5.333103953,5.503621544,3.961670969,4.148081632,4.611106606,4.658832803,4.044928848,3.21439449,3.102997111,2.956984938,2.80016462,3.610530652,3.277758944,3.591495516,3.844574024,4.141440409,4.41859298,4.632877365,4.725706167,4.12382634,
"Bahamas, The",BHS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.904372905,2.41669769,1.889602808,1.494322004,1.314740013,1.186949003,1.221333095,1.377618913,1.281273947,1.137368339,1.146868842,1.088505675,1.027868839,0.971696791,0.962507033,0.899375541,
Belarus,BLR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.622498648,2.790971461,3.621608255,1.699463769,1.26069256,1.768966551,1.495098702,1.366760738,1.34698592,1.438287564,1.400244086,1.29906358,1.358222749,1.498453135,1.709412492,1.649765914,1.453490612,1.372578979,1.390233226,1.26606048,1.284388222,1.328507757,1.328218583,1.325167063,1.272563808,1.191985314,
Belize,BLZ,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,1.158969928,1.437587169,1.534381036,1.543918919,1.559825996,,,,1.199332232,1.176307351,1.094053398,1.021547148,1.095492316,1.36043658,1.298850806,1.242144862,1.435666259,,,0.855252088,0.855039571,0.839626562,0.863555814,0.896738668,0.961314172,1.008915151,1.066140405,1.367605852,1.291561951,1.097791855,1.036944239,0.967153343,1.101745987,1.167118371,1.13153855,1.255967983,1.25308389,
Bermuda,BMU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,1.203463986,1.158699993,1.326412016,,,,,1.350152185,1.318224897,1.61221645,1.391585766,1.595541894,1.622636209,1.836654098,2.371237115,2.367156575,2.247499441,2.598970098,2.708461078,3.172399893,3.902203322,1.9818473,1.499320703,2.170841736,2.013992525,2.345549228,2.377263176,2.02098132,2.1562887,2.815883319,2.688324857,2.506118833,1.91634981,2.250301234,2.096162258,1.986807543,2.273610301,2.69111086,2.133287095,2.062971201,2.264906498,2.029451875,2.145792545,1.924982155,1.772543032,1.567656118,1.686580784,1.962268215,1.994101555,1.666243581,1.684120002,1.845594675,1.840906756,1.89684061,1.743970952,1.634420874,1.757834632,
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.679134726,2.364066194,2.398683307,2.260839182,2.014498091,3.352092157,3.021981632,2.856972008,2.649740158,2.615590006,2.887289557,2.619046859,2.43581199,2.154651306,1.941353411,1.972143796,2.002753365,1.687726478,1.59967155,1.521931686,1.138434421,1.143148768,1.303534361,1.254580323,1.199541045,1.429523122,1.220388728,1.743994031,2.118072205,2.68625,2.363841025,1.963333333,1.521528861,1.927922815,2.016007789,1.86213698,1.6548435,1.577688316,1.66229192,1.645474667,1.730726147,1.951882445,1.895771199,1.503477636,1.461268409,1.524013462,1.481084932,1.46629207,1.441924069,1.538625706,1.539406993,1.41185119,1.378656465,1.329446085,1.330244423,1.364428607,1.348498796,1.410026024,
Barbados,BRB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.574084402,2.88778814,4.670729808,3.792514955,6.6299771,6.21043627,6.437735269,6.404350125,6.245144781,5.740231735,5.982471359,5.477265965,6.249493831,7.183964552,7.529843893,6.130418352,4.06920549,3.886397608,3.870782758,3.711419618,2.532730088,2.608089964,2.558180991,2.638365189,2.514964776,3.258846929,2.850485291,2.242239063,2.159035051,2.277505875,3.086859986,3.279291821,3.539389879,2.879225016,
Bhutan,BTN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,1.356572569,2.874909003,3.501499383,3.207620529,2.978298115,2.69474386,2.326337698,2.437270832,2.184731489,2.663595803,4.794414575,4.899677023,3.56901008,4.445158035,4.603469927,4.482809049,4.933491973,4.008120396,3.506479719,2.899521498,3.197204627,3.779398844,3.092073755,3.191242951,3.831223033,4.11020649,4.007366589,3.505874041,2.858004185,2.695121374,2.801455193,3.036968238,3.215590561,2.726857256,2.316701323,2.209757002,2.05639578,2.130859048,2.662869697,3.304741643,3.052535478,
Central African Republic,CAF,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.568069342,1.642125317,1.497087845,1.255882652,1.16678192,1.210192071,,,,,,1.049289194,1.287153678,1.158811996,1.082729011,,1.064860884,1.49177304,1.713389546,2.450382349,2.142962982,1.858598068,2.977169622,2.127709336,1.590637871,1.441812735,1.323566457,
Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.18525654,4.128312243,3.999216389,3.620650112,3.402062837,2.930260659,2.683282422,2.74792677,2.54364188,2.27378467,2.188979696,2.131485639,2.011818438,1.832601818,1.783813085,1.863541853,1.765927978,1.8057636,1.848887401,1.711245918,1.764448615,1.709915638,1.954343585,2.081196249,2.117188855,2.097376234,2.109197118,2.062576371,1.986767119,1.934614309,1.958793742,1.895444339,1.8616877,1.821753504,1.696680257,1.554090071,1.403752581,1.246243202,1.256293902,1.241703064,1.11808088,1.137368973,1.120852292,1.115878799,1.107966027,1.110669655,1.125832408,1.188901783,1.248621382,1.381043981,1.197153652,1.196084458,1.121099973,1.004858419,0.995806097,1.155909488,1.185867674,1.253960038,
Central Europe and the Baltics,CEB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.659717493,3.413760558,2.74265329,2.565355105,2.350645421,2.280251249,2.366719613,2.242720599,2.329140537,2.170490239,1.952320226,1.860818413,1.893150823,1.895700806,1.861865221,1.758347291,1.785499049,1.706971434,1.667756029,1.535825243,1.543083104,1.482263887,1.415925229,1.405057377,1.379058667,1.417807263,1.536146036,1.491295498,1.610776015,
Switzerland,CHE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.341450361,2.469077069,2.567567568,2.516336682,2.535855697,2.467959251,2.530793359,2.382373845,2.176517572,2.197923705,2.103347488,2.052526822,1.968126125,1.861448562,1.875974486,1.900752738,2.162581009,2.022086563,1.967364431,2.039799426,1.678606546,1.662802221,1.728194511,1.748805589,1.701248303,1.824971868,1.661021951,1.561866055,1.564805264,1.524165367,1.572147188,1.537824886,1.523709272,1.366964345,1.332284094,1.355496386,1.283756802,1.220864103,1.185203901,1.086212205,1.028548809,0.991749596,0.956008298,0.925988225,0.889966481,0.852537867,0.772219344,0.734051597,0.740102237,0.748709735,0.705625108,0.710873778,0.687662793,0.730773147,0.650365966,0.6656936,0.683595232,0.683630213,
Channel Islands,CHI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.118405627,3.527447297,3.043709078,2.865395725,2.635186596,2.885712733,2.735920852,2.713632634,2.527068178,2.260899987,4.450450634,6.264815442,6.625414195,6.283820901,7.109561164,6.742536661,6.085050825,6.915244814,6.728122321,6.332556333,6.48209287,7.022118889,8.877267738,7.575222602,7.605406176,6.900608611,6.288002199,5.638071075,4.13999608,3.590029509,3.401654859,2.849842767,2.628510469,2.706922937,2.597544983,2.562064629,2.449320898,2.498201924,2.589837226,2.713631594,2.702046781,2.667081275,2.551802057,2.73384906,2.708704582,2.521367136,2.490734069,2.317015138,2.584010483,2.263607888,2.239468311,2.254395655,2.046290407,1.986419474,1.95515986,1.909455988,1.941846299,1.910061854,
China,CHN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.480186641,2.493258303,2.346909609,2.484758572,1.961907272,1.724967688,1.716336642,1.686051138,1.674802087,1.703300374,1.922053121,1.892938442,2.081184198,2.185412706,2.115686315,2.063710599,2.00873489,2.01072345,1.914648989,1.878156146,2.067426107,1.896713147,1.821927498,1.83856391,1.872333625,1.915341272,1.934922427,1.930606381,1.908844978,
Cote d'Ivoire,CIV,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,1.275534442,0.998988878,1.143929912,1.319699499,1.263565891,1.312658687,1.160490046,1.148796499,1.181007472,1.500340987,1.695633743,1.130342635,1.339648173,1.178430198,1.118886112,0.794768612,1.098093102,1.123772304,1.164286711,1.091036048,1.142167706,1.115046625,1.025590419,0.996969504,1.05352867,1.217098753,1.249140612,1.330374658,1.333435385,1.374856332,1.40745388,1.428552033,1.096734023,,0.844918599,0.796851598,,,,,,1.391605405,1.51507182,1.462533401,1.501948343,1.590764336,1.522855742,1.730239456,1.557966428,1.383085883,1.504740332,1.372700551,1.521749913,1.776009024,1.724962827,1.28044343,
Cameroon,CMR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,1.872127872,1.842670401,1.762854734,1.760674157,1.691940723,1.727593933,1.762325015,1.715850108,1.66511724,1.655363748,1.555817726,1.818915609,1.990519146,1.890684084,1.740219092,1.339835729,1.217823458,1.250025497,1.284796155,1.333689155,1.474566613,1.514551699,1.532605614,1.326124551,1.310340092,1.251644839,1.224837883,1.301241746,1.396509438,1.443852391,1.324748937,1.29036004,1.338506783,1.383806998,1.401603887,1.344861479,1.431105193,1.452144972,1.486073738,1.468117481,1.498801036,1.306925879,1.338950728,1.328671185,1.252831417,1.245103441,1.321468702,1.316594186,
"Congo, Dem. Rep.",COD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,3.91E-05,,4.31E-05,,4.22E-05,4.17E-05,5.52E-05,4.86E-05,4.03E-05,3.49E-05,5.27E-05,4.53E-05,3.36E-05,3.49E-05,3.27E-05,2.97E-05,,,,,,,,,,,,,,5.226085685,,,1.546801091,1.410851124,0.428454161,1.158150664,0.220259969,,,0.880645829,1.336605383,1.380794241,1.434633757,1.254075455,0.833061033,0.670095355,0.889890491,0.971597233,1.20667137,1.146177954,0.950246238,1.278151274,0.948690551,0.698773596,
"Congo, Rep.",COG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,4.860402685,4.600243013,3.52967033,4.220272904,4.240875912,4.497493734,4.73183391,4.953219593,4.3197176,4.393713163,3.365982242,3.187096179,3.345045678,,2.253103808,2.575195715,,4.374167391,,,,,4.287556415,4.077874244,,,,,,,,1.948493873,2.341203858,2.682498277,2.673874094,1.65791519,1.637112803,2.260495005,2.041300007,,1.778276109,,,2.617795076,5.007370753,,7.143083852,6.167053191,
Colombia,COL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.884323476,2.143256303,3.099415205,3.515140376,3.180803571,3.190946922,3.165244797,3.117364563,2.385372481,2.054924157,2.259546584,3.374174097,1.967195823,1.690245106,1.575780135,1.740268075,1.493602871,1.438487214,1.55031941,1.67392877,1.830121649,1.755120362,1.713850959,2.219937527,2.325894964,2.054016609,1.944619591,1.983135416,2.199244755,2.188183807,1.8601593,1.853481783,2.106677943,2.525267018,2.508407013,2.831626581,4.445393254,2.801787886,3.440985742,3.762742058,3.031683539,3.323872819,3.417127624,3.463988691,3.465015174,3.352873388,3.276130639,3.266739663,3.709744276,3.863294541,3.631148564,3.072783411,3.166777069,3.288824583,3.130404248,3.124883717,3.069170238,3.102232705,
Comoros,COM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.792398965,2.463444386,2.335531481,2.103676174,1.913885606,,,,0.992592471,0.756580531,0.838878589,1.265080851,0.84417531,0.831007455,0.858540442,0.838543201,1.26126125,0.823865249,0.728028717,0.710452942,0.698044242,0.728661916,0.630491936,0.524701986,0.601270991,0.490877913,0.495060223,0.523241665,0.555765135,0.530303913,0.540806548,0.566746281,0.629054099,0.542081123,
Costa Rica,CRI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Caribbean small states,CSS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,1.317649806,1.071512065,,,,0.983419943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.380960052,3.326856112,3.084505001,3.937599978,3.512728781,3.536004761,3.083791445,,,
Curacao,CUW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.270291696,1.577157899,5.391477698,5.700256029,5.369355098,7.374035613,7.264776122,9.129286044,4.074952605,4.023989196,3.041034215,4.524714829,5.57391077,4.676317946,2.73385097,2.76736545,3.102672608,2.093850865,1.981136473,1.944338817,2.008085536,1.869181864,1.676993917,1.630011575,1.817013415,1.868442188,1.749015514,1.657163405,1.600103763,1.535173105,1.676343184,1.600807758,1.879580803,
Czech Republic,CZE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.330404066,2.283400858,1.843622773,1.731904688,1.662045791,1.82593182,1.859069923,1.877356956,1.751249558,1.824406968,1.892764044,1.713703173,1.790083772,1.575906158,1.430914735,1.23821201,1.318537078,1.203940276,1.08546999,1.070811387,1.026151453,0.973390214,0.952677705,1.001060077,1.051766912,
Germany,DEU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.004952608,3.97312792,4.776337045,5.20480475,4.657705926,4.346192919,4.153081726,4.331961374,3.618810593,3.610562007,3.200499168,3.25104937,3.36503426,3.35665199,3.464507053,3.487958476,3.33110144,3.227762592,3.239608802,3.149029659,3.146020393,3.231572191,3.223515188,3.215736917,3.108704883,3.046190104,2.964334269,2.945180401,2.805597842,2.690353639,2.675482903,2.12242056,1.976500012,1.799147865,1.646952122,1.588252022,1.55726982,1.497186199,1.47763139,1.482071597,1.443623375,1.405968301,1.410769976,1.399048683,1.348089949,1.329937502,1.268776768,1.237053513,1.281316605,1.388906954,1.35365069,1.281112196,1.311261447,1.223993716,1.184973759,1.179472016,1.195846122,1.220135871,
